municipality,state,role,expectation_hazard,verdict_hazard,hazard_rank,Hazard_Index_mun,expectation_risk,verdict_risk,risk_rank,Risk_Hazard,Hazard_Frequency,Hazard_Severity,Exposure_absolute,Exposure_relative,Exposure_Index,Vulnerability_CDF_PC1,pop_municipality,pop_eff,distance_km,coverage_status,risk_zero_cause,evidence,rationale
Fernando de Noronha,PE,coverage,low,"diverges (no value, but one was expected)",,,absent,meets,,,,,0.370368,0.958621,0.595854,0.358177,3161,3030.2,inf,no_hazard_association,not_computed_missing_association,"Oceanic archipelago; 19 grid points over it, all rejecting 100 percent of candidates at the HAT gate","Absence must be a declared result, not a silent gap"
Macapá,AP,negative_control,low,meets,188.0,0.017401,low,diverges,169.0,0.178303,0.010101,0.0247,0.788772,0.323748,0.505335,0.644652,441451,142918.7,0.0,associated_with_hazard,nonzero,Grid point inside the Amazon estuary; thr_hs 0.51 m; zos contaminated by seasonal river discharge,Should NOT rank high on compound wave-surge hazard. Baseline review confidence VERY LOW with a suspected artefact
Apicum-Açu,MA,negative_control,low,diverges,181.0,0.021901,ambiguous,not scored (expectation is ambiguous by design),172.0,0.175136,0.010101,0.0337,0.378268,0.185947,0.265212,0.924845,17526,3258.9,8.242636044026538,associated_with_hazard,nonzero,As Icatu,As Icatu
Axixá,MA,negative_control,low,diverges,121.0,0.107251,ambiguous,not scored (expectation is ambiguous by design),77.0,0.306858,0.010101,0.2044,0.362099,0.232028,0.289857,0.929453,12102,2808.0,39.5769699860598,associated_with_hazard,nonzero,As Icatu,As Icatu
Icatu,MA,negative_control,low,diverges,121.0,0.107251,ambiguous,not scored (expectation is ambiguous by design),32.0,0.368353,0.010101,0.2044,0.508744,0.440275,0.473273,0.984643,24618,10838.7,15.27674370859832,associated_with_hazard,nonzero,"Macrotidal ria coast of the Golfão Maranhense, tidal range to 7.1 m; events phase-locked to spring tide",Hazard should be low for compound meteorological events. High risk driven by SVI is defensible only if the hazard component is honest
Turiaçu,MA,negative_control,low,diverges,167.0,0.032151,ambiguous,not scored (expectation is ambiguous by design),127.0,0.238291,0.020202,0.0441,0.530983,0.356884,0.435315,0.966776,37274,13302.5,10.994036759101395,associated_with_hazard,nonzero,As Icatu,As Icatu
Chaves,PA,negative_control,low,diverges,138.0,0.071304,ambiguous,not scored (expectation is ambiguous by design),52.0,0.339802,0.070707,0.0719,0.517395,0.591374,0.553149,0.994764,19848,11737.6,3.528482218061098,associated_with_hazard,nonzero,"thr_hs 0.24 m; normalised intensity 0.203, near the domain minimum; hotspot driven purely by SVI = 100","Marajó erosion is documented but driven by tide and currents, not by compound wave-surge events. Hazard should be low; risk may still be high through vulnerability, which is legitimate but must be explained"
Duque de Caxias,RJ,negative_control,low,diverges,29.0,0.626878,low,diverges,25.0,0.385615,0.565657,0.6881,0.79705,0.191074,0.390251,0.234388,807233,154241.2,35.22508557392514,associated_with_hazard,nonzero,As Magé,As Magé
Guapimirim,RJ,negative_control,low,diverges,29.0,0.626878,low,diverges,53.0,0.337326,0.565657,0.6881,0.436198,0.107772,0.216818,0.282405,51557,5556.4,30.303119069339676,associated_with_hazard,nonzero,As Magé,As Magé
Magé,RJ,negative_control,low,diverges,29.0,0.626878,low,diverges,3.0,0.468027,0.565657,0.6881,0.698477,0.272705,0.436438,0.374721,228147,62216.9,34.65066709174607,associated_with_hazard,nonzero,"Inner Guanabara Bay, sheltered from swell; receives an open-shelf point 35 km away","These municipalities do flood, but fluvially and pluvially, not by wave. Baseline review: confidence VERY LOW, clear support error"
Paraty,RJ,negative_control,low,diverges,39.0,0.612684,ambiguous,not scored (expectation is ambiguous by design),5.0,0.440631,0.686869,0.5385,0.592569,0.528327,0.559527,0.249556,44399,23457.2,14.816366098208608,associated_with_hazard,nonzero,"Baía da Ilha Grande, sheltered; recurrent flooding of the historic centre driven by spring tide plus rain, not swell","Partial agreement only: the flooding is real, the mechanism is not the one detected"
